id,timestamp,source,event_type,user,host,source_ip,outcome,severity,message,attributes_json
evt-0000002a-00000019,2026-07-30T08:04:11+00:00,windows-security,authentication,lucia,srv-files,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000020,2026-07-30T08:04:22+00:00,vpn,authentication,diego,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000021,2026-07-30T08:04:38+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000022,2026-07-30T08:04:47+00:00,windows-security,authentication,diego,vpn-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000023,2026-07-30T08:05:01+00:00,windows-security,authentication,lucia,srv-files,198.51.100.42,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000024,2026-07-30T08:05:14+00:00,windows-security,authentication,marcos,srv-files,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000025,2026-07-30T08:05:25+00:00,vpn,authentication,lucia,ws-022,10.20.8.9,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000026,2026-07-30T08:05:43+00:00,windows-security,authentication,svc-backup,ws-022,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000027,2026-07-30T08:05:53+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000028,2026-07-30T08:06:04+00:00,windows-security,authentication,diego,dc-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000029,2026-07-30T08:06:19+00:00,windows-security,authentication,ana,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000030,2026-07-30T08:06:31+00:00,vpn,authentication,ines,srv-files,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000031,2026-07-30T08:06:48+00:00,windows-security,authentication,diego,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000032,2026-07-30T08:07:02+00:00,windows-security,authentication,lucia,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000033,2026-07-30T08:07:14+00:00,windows-security,authentication,marcos,dc-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000034,2026-07-30T08:07:23+00:00,windows-security,authentication,diego,srv-files,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000035,2026-07-30T08:07:38+00:00,vpn,authentication,marcos,vpn-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000036,2026-07-30T08:07:50+00:00,windows-security,authentication,ines,ws-031,10.20.4.22,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000037,2026-07-30T08:08:04+00:00,windows-security,authentication,diego,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000038,2026-07-30T08:08:17+00:00,windows-security,authentication,marcos,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000039,2026-07-30T08:08:32+00:00,windows-security,authentication,marcos,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000040,2026-07-30T08:08:45+00:00,vpn,authentication,marcos,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000041,2026-07-30T08:08:57+00:00,windows-security,authentication,lucia,srv-files,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000042,2026-07-30T08:09:11+00:00,windows-security,authentication,ines,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000043,2026-07-30T08:09:23+00:00,windows-security,authentication,svc-backup,ws-031,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000044,2026-07-30T08:09:36+00:00,windows-security,authentication,marcos,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000045,2026-07-30T08:09:50+00:00,vpn,authentication,ines,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000046,2026-07-30T08:10:04+00:00,windows-security,authentication,ines,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000047,2026-07-30T08:10:12+00:00,windows-security,authentication,lucia,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000048,2026-07-30T08:10:27+00:00,windows-security,authentication,diego,dc-01,10.20.4.22,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000049,2026-07-30T08:10:41+00:00,windows-security,authentication,diego,dc-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000050,2026-07-30T08:10:51+00:00,vpn,authentication,ana,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000051,2026-07-30T08:11:06+00:00,windows-security,authentication,svc-backup,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000052,2026-07-30T08:11:16+00:00,windows-security,authentication,ana,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000053,2026-07-30T08:11:30+00:00,windows-security,authentication,marcos,vpn-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000054,2026-07-30T08:11:43+00:00,windows-security,authentication,ana,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000055,2026-07-30T08:11:57+00:00,vpn,authentication,svc-backup,srv-files,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000056,2026-07-30T08:12:14+00:00,windows-security,authentication,lucia,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000057,2026-07-30T08:12:21+00:00,windows-security,authentication,marcos,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000058,2026-07-30T08:12:40+00:00,windows-security,authentication,ines,ws-022,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000059,2026-07-30T08:12:50+00:00,windows-security,authentication,svc-backup,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000060,2026-07-30T08:13:03+00:00,vpn,authentication,lucia,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000061,2026-07-30T08:13:15+00:00,windows-security,authentication,diego,ws-031,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000062,2026-07-30T08:13:26+00:00,windows-security,authentication,ines,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000063,2026-07-30T08:13:44+00:00,windows-security,authentication,lucia,ws-031,10.20.8.9,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000064,2026-07-30T08:13:54+00:00,windows-security,authentication,marcos,vpn-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000065,2026-07-30T08:14:05+00:00,vpn,authentication,lucia,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000066,2026-07-30T08:14:20+00:00,windows-security,authentication,ines,vpn-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000067,2026-07-30T08:14:34+00:00,windows-security,authentication,ines,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000068,2026-07-30T08:14:47+00:00,windows-security,authentication,ana,ws-022,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000069,2026-07-30T08:15:03+00:00,windows-security,authentication,marcos,ws-014,203.0.113.77,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000070,2026-07-30T08:15:14+00:00,vpn,authentication,lucia,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000071,2026-07-30T08:15:28+00:00,windows-security,authentication,ines,vpn-01,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000072,2026-07-30T08:15:37+00:00,windows-security,authentication,lucia,ws-031,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000073,2026-07-30T08:15:54+00:00,windows-security,authentication,ines,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000074,2026-07-30T08:16:04+00:00,windows-security,authentication,diego,ws-014,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000075,2026-07-30T08:16:18+00:00,vpn,authentication,lucia,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000076,2026-07-30T08:16:28+00:00,windows-security,authentication,ana,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000077,2026-07-30T08:16:41+00:00,windows-security,authentication,diego,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000078,2026-07-30T08:16:54+00:00,windows-security,authentication,lucia,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000079,2026-07-30T08:17:12+00:00,windows-security,authentication,ana,ws-031,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000080,2026-07-30T08:17:26+00:00,vpn,authentication,svc-backup,ws-022,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000081,2026-07-30T08:17:34+00:00,windows-security,authentication,lucia,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000082,2026-07-30T08:17:49+00:00,windows-security,authentication,marcos,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000083,2026-07-30T08:18:03+00:00,windows-security,authentication,diego,ws-031,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000084,2026-07-30T08:18:13+00:00,windows-security,authentication,marcos,ws-022,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000085,2026-07-30T08:18:27+00:00,vpn,authentication,diego,srv-files,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000086,2026-07-30T08:18:42+00:00,windows-security,authentication,lucia,ws-014,10.20.8.9,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000087,2026-07-30T08:18:54+00:00,windows-security,authentication,diego,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000088,2026-07-30T08:19:04+00:00,windows-security,authentication,ana,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000089,2026-07-30T08:19:22+00:00,windows-security,authentication,marcos,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000090,2026-07-30T08:19:34+00:00,vpn,authentication,svc-backup,srv-files,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000091,2026-07-30T08:19:45+00:00,windows-security,authentication,ana,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000092,2026-07-30T08:19:56+00:00,windows-security,authentication,marcos,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000093,2026-07-30T08:20:12+00:00,windows-security,authentication,marcos,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000094,2026-07-30T08:20:26+00:00,windows-security,authentication,lucia,ws-014,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000095,2026-07-30T08:20:35+00:00,vpn,authentication,svc-backup,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000096,2026-07-30T08:20:53+00:00,windows-security,authentication,ines,dc-01,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000097,2026-07-30T08:21:06+00:00,windows-security,authentication,marcos,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000098,2026-07-30T08:21:20+00:00,windows-security,authentication,ana,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000099,2026-07-30T08:21:30+00:00,windows-security,authentication,lucia,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000100,2026-07-30T08:21:43+00:00,vpn,authentication,lucia,srv-files,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000101,2026-07-30T08:21:56+00:00,windows-security,authentication,ines,vpn-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000102,2026-07-30T08:22:12+00:00,windows-security,authentication,ines,ws-022,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000103,2026-07-30T08:22:21+00:00,windows-security,authentication,lucia,vpn-01,198.51.100.42,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000104,2026-07-30T08:22:33+00:00,windows-security,authentication,ana,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000105,2026-07-30T08:22:48+00:00,vpn,authentication,lucia,ws-022,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000106,2026-07-30T08:22:58+00:00,windows-security,authentication,marcos,ws-022,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000107,2026-07-30T08:23:17+00:00,windows-security,authentication,svc-backup,ws-022,203.0.113.77,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000108,2026-07-30T08:23:28+00:00,windows-security,authentication,lucia,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000109,2026-07-30T08:23:38+00:00,windows-security,authentication,svc-backup,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000110,2026-07-30T08:23:53+00:00,vpn,authentication,svc-backup,vpn-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000111,2026-07-30T08:24:04+00:00,windows-security,authentication,ana,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000112,2026-07-30T08:24:17+00:00,windows-security,authentication,svc-backup,srv-files,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000113,2026-07-30T08:24:35+00:00,windows-security,authentication,ines,vpn-01,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000114,2026-07-30T08:24:47+00:00,windows-security,authentication,svc-backup,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000115,2026-07-30T08:24:55+00:00,vpn,authentication,diego,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-0,2026-07-30T08:25:00+00:00,windows-security,authentication,ana,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000116,2026-07-30T08:25:14+00:00,windows-security,authentication,ana,srv-files,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000117,2026-07-30T08:25:25+00:00,windows-security,authentication,marcos,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-1,2026-07-30T08:25:25+00:00,windows-security,authentication,marcos,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000118,2026-07-30T08:25:38+00:00,windows-security,authentication,ines,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000119,2026-07-30T08:25:49+00:00,windows-security,authentication,svc-backup,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-2,2026-07-30T08:25:50+00:00,windows-security,authentication,lucia,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000120,2026-07-30T08:26:00+00:00,vpn,authentication,lucia,ws-031,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000121,2026-07-30T08:26:15+00:00,windows-security,authentication,diego,vpn-01,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-3,2026-07-30T08:26:15+00:00,windows-security,authentication,diego,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000122,2026-07-30T08:26:29+00:00,windows-security,authentication,svc-backup,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-4,2026-07-30T08:26:40+00:00,windows-security,authentication,ines,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000123,2026-07-30T08:26:42+00:00,windows-security,authentication,ana,ws-014,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000124,2026-07-30T08:26:53+00:00,windows-security,authentication,ines,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
scenario-42-spray-5,2026-07-30T08:27:05+00:00,windows-security,authentication,svc-backup,vpn-01,203.0.113.77,failure,high,Invalid password,"{""scenario_marker"":""true"",""synthetic"":""true""}"
evt-0000002a-00000125,2026-07-30T08:27:06+00:00,vpn,authentication,diego,dc-01,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000126,2026-07-30T08:27:19+00:00,windows-security,authentication,marcos,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000127,2026-07-30T08:27:35+00:00,windows-security,authentication,marcos,srv-files,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000128,2026-07-30T08:27:46+00:00,windows-security,authentication,diego,ws-014,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000129,2026-07-30T08:28:03+00:00,windows-security,authentication,svc-backup,ws-014,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000130,2026-07-30T08:28:11+00:00,vpn,authentication,ines,srv-files,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000131,2026-07-30T08:28:29+00:00,windows-security,authentication,ana,ws-022,203.0.113.77,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000132,2026-07-30T08:28:37+00:00,windows-security,authentication,ines,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000133,2026-07-30T08:28:53+00:00,windows-security,authentication,ines,vpn-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000134,2026-07-30T08:29:04+00:00,windows-security,authentication,lucia,vpn-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000135,2026-07-30T08:29:17+00:00,vpn,authentication,diego,ws-022,10.20.8.9,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000136,2026-07-30T08:29:29+00:00,windows-security,authentication,ines,ws-022,198.51.100.42,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000137,2026-07-30T08:29:42+00:00,windows-security,authentication,ana,ws-031,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000138,2026-07-30T08:29:54+00:00,windows-security,authentication,ana,srv-files,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000139,2026-07-30T08:30:07+00:00,windows-security,authentication,ines,ws-031,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000140,2026-07-30T08:30:22+00:00,vpn,authentication,diego,ws-022,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000141,2026-07-30T08:30:35+00:00,windows-security,authentication,marcos,ws-022,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000142,2026-07-30T08:30:52+00:00,windows-security,authentication,lucia,dc-01,10.20.4.22,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000143,2026-07-30T08:31:03+00:00,windows-security,authentication,ana,ws-014,10.20.4.17,failure,low,Invalid password,"{""synthetic"":""true""}"
evt-0000002a-00000144,2026-07-30T08:31:14+00:00,windows-security,authentication,ana,ws-031,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000145,2026-07-30T08:31:31+00:00,vpn,authentication,ines,ws-031,198.51.100.42,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000146,2026-07-30T08:31:38+00:00,windows-security,authentication,svc-backup,srv-files,10.20.4.17,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
evt-0000002a-00000147,2026-07-30T08:31:53+00:00,windows-security,authentication,diego,dc-01,203.0.113.77,success,info,Interactive sign-in accepted,"{""synthetic"":""true""}"
